smiles,density,hof,density_score,hof_score,density_ood,density_train,density_iid,hof_ood,hof_train,hof_iid
CC(C)OC(=O)c1ccc(cc1)N(=O)=O,1.3676331520978,-109.98534641233,8.210920771976268,1.0026508149556943,0,1,0,0,0,1
CCc1ccc(cc1)C=C(COc1ccccc1C=NO)C(=O)OC,1.2926180397948,-100.96261079009,6.583657479355436,1.003693406784131,0,1,0,0,1,0
CC(C)(C)c1ccc(O)c(C=NO)c1,1.2279930724017,-55.199617879115,4.442728969651312,1.0052990643561746,0,1,0,0,1,0
Cc1ccccc1NN=C(C)c1cccc(c1)N(=O)=O,1.3167548217022,34.675794434549,7.314954168483995,1.0027447149807516,0,1,0,0,1,0
CN(C)c1ccc(cc1)C(=C(C#N)C#N)C(c1ccc(cc1)N(=O)=O)=C1C(=O)c2ccccc2C1=O,1.4062073001451,49.41149979423,8.056642020381512,1.0035997492872983,0,1,0,0,0,1
CC(C)(C)c1cc(C=NO)c(O)c(c1)C(C)(C)C,1.1837577052164,-82.910878841917,3.251092975709828,1.0032601937128622,1,0,0,0,1,0
CC(C)(C)c1cc(C=NO)c(O)c(c1)N(=O)=O,1.3637752146382,-60.801345113712,8.184420718261142,1.004553034843264,0,1,0,0,0,1
COc1cc(cc(C=NO)c1O)C(C)(C)C,1.2534428462974,-87.515982635071,5.263041468047317,1.0032325352991969,0,1,0,0,1,0
CC(C)(C)CC(C)(C)c1ccc(O)c(C=NO)c1,1.1831116655801,-76.470238370278,3.2362718978602687,1.004573736491799,1,0,0,0,1,0
CC(C)(C)CC(C)(C)c1cc(C=NO)c(O)c(c1)N(=O)=O,1.289737636509,-83.044196862587,6.489347109743892,1.003376352702294,0,1,0,0,1,0
O=C1NC2C(N(CN2N(=O)=O)N(=O)=O)N1N(=O)=O,1.8081413154367,-5.8058943690066,1.2647232860196531,1.0044967874228043,1,0,0,0,1,0
CC(=NOCC(O)=O)c1ccccc1N=Nc1ccccc1,1.3435214896366,-15.911267546427,7.925241730735097,1.0052132836311405,0,0,1,0,1,0
COC(=O)c1cc(cc(c1O)N(=O)=O)N(=O)=O,1.6428548212403,-136.09344722388,2.2671194613622645,1.0019969534718058,1,0,0,0,1,0
OCC1OC(C(O)C1O)N1C=CN=C1N(=O)=O,1.55968619717,-134.9678912977,3.7724615262213868,1.0032472212990025,0,1,0,0,1,0
CC1C(CCc2ccccc2)OC(COC(=O)c2cc(cc(c2)N(=O)=O)N(=O)=O)C1OC(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O,1.5018815214808,-265.79273274986,5.44741238981907,1.0005123285288173,0,1,0,1,0,0
O=C(Cc1ccccc1)ON=C(C(=O)NC1CCCCC1)c1ccccc1,1.2781540413185,-95.23437641746,6.1017152687378475,1.0033940480631975,0,1,0,0,1,0
CC(C)C=C(NC(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O)C(=O)N(C)C,1.4116143044241,-111.1128049822,7.9768306712434685,1.0025097930262943,0,1,0,0,1,0
CCOC(=O)C(C1C(CN(CC2CCCCC2)C1=O)C(ON1N=Nc2ccccc12)c1cccc(c1)N(=O)=O)C(=O)OCC,1.3691192007785,-254.64710576211,8.219097797556014,1.0009003487462824,0,1,0,1,0,0
COc1ccc(cc1C1C(C(ON1c1ccccc1)c1ccc(C)cc1)C(=O)c1ccccc1)C(C)(C)c1ccccc1,1.2729261376915,-53.685199601133,5.9240899511970175,1.0049214821642556,0,1,0,0,1,0
CC(C)C1CCC23OC(CCC2=NNc2ccc(cc2N(=O)=O)N(=O)=O)CC13C,1.3865969379267,-63.759698103247,8.229532133521703,1.0048033570934638,0,1,0,0,1,0
COc1cccc(C=NO)c1O,1.3523433362687,-58.830061088661,8.062185688859145,1.0049504952659671,0,1,0,0,1,0
CCN(CC)c1ccc(C=Nc2ccc(cc2)N(=O)=O)c(O)c1,1.3198081731389,-37.900123604182,7.397267839517455,1.0056757134152485,0,1,0,0,1,0
COC(=O)C1(CC(ON(c2ccccc2)C21C(=O)N(C)c1ccccc21)C=C)C(=O)OC,1.3978599981998,-160.13312356862,8.153271390874355,1.0030937273095735,0,1,0,0,1,0
O=C(Nc1ccccc1)c1ccc(cc1)N(=O)=O,1.4006425931896,-25.242126891412,8.124748806122739,1.0055234115852696,0,1,0,0,0,1
Cc1cccc(C)c1NC(=O)c1ccc(cc1)N(=O)=O,1.3510566394601,-42.7069692705,8.044454334901358,1.0050543567555716,0,1,0,0,1,0
CCc1cccc(CC)c1NC(=O)c1ccc(cc1)N(=O)=O,1.3077975743583,-56.908316430018,7.058509721888815,1.005341802073202,0,1,0,0,1,0
CC(C)(C)c1ccc(cc1)C(=O)Nc1ccc(cc1)N(=O)=O,1.3118528626491,-60.041803605938,7.177209521978301,1.0052301828876726,0,1,0,0,1,0
CN(C)C(C)=NO,1.141029156662,-11.58533893599,2.427227214175901,1.0048840133419044,1,0,0,0,1,0
O=C(NCCON(=O)=O)c1ccncc1,1.4414484802172,-55.147007386051,7.3287245778689805,1.0055976526402668,0,1,0,0,1,0
COc1c2OCCOc2ccc1N(=O)=O,1.5000999072223,-93.563823210685,5.504923799730983,1.0047776168184506,0,1,0,0,1,0
O=N(=O)c1ccc(NN=Cc2ccc3OCOc3c2)c(c1)N(=O)=O,1.5498606942563,-18.633003474347,4.023195829063205,1.0060187071236975,0,1,0,0,1,0
CC(=O)OCN(CN(CN(COC(C)=O)N(=O)=O)N(=O)=O)N(=O)=O,1.602632074015,-180.90276590337,2.8645649735997893,1.001140134324353,1,0,0,0,1,0
O=N(=O)c1ccc(OC2CCCCO2)cc1,1.3788510546579,-94.408022129561,8.244440119580837,1.00223120726535,0,1,0,0,1,0
CC1=CC(=O)N(CC(=O)c2cccc(c2)N(=O)=O)C2=C1CCCC2,1.3855408753593,-89.370686624853,8.23338703772131,1.0054796674857187,0,1,0,0,1,0
O=N(=O)c1ccc(NN=Cc2ccccc2N(=O)=O)cc1,1.4666113182273,43.532941003839,6.589068933055697,1.0025617758935566,0,1,0,0,1,0
CC(C)Oc1c(OC(C)=O)c(ccc1N(=O)=O)C(O)=O,1.4556396656249,-222.82051049952,6.92624746397526,1.0004451901288982,0,1,0,1,0,0
Cc1cccc(C)c1NC(=O)CN1CCN(CC1)CC1=NC(=NO1)c1ccc(cc1)N(=O)=O,1.3557850005083,-42.571685751339,8.105728044798276,1.0043676577314864,0,1,0,0,1,0
O=C1C=CC(=NNc2ccccc2N(=O)=O)c2ccccc12,1.4363842744384,30.065228476695,7.460084810110462,1.0035010319403024,0,1,0,0,1,0
O=N(=O)C1=CN(Cc2ccc(CN3C=C(C=N3)N(=O)=O)cc2)N=C1,1.4625455764055,66.22538186822,6.716049717706548,1.0014682746787684,0,0,1,0,1,0
CC(=O)C1C(C)(C)CC(CC1(C)C)=NO,1.1862845023404,-86.780021870931,3.3097885138668706,1.0039779776457964,1,0,0,0,1,0
CC(C)=NNc1ccc(cc1)N(=O)=O,1.3169417583439,17.434619125193,7.3200734596952195,1.0047757837879032,0,1,0,0,1,0
CC(=O)c1ccc(cc1)c1ccccc1N(=O)=O,1.3633038756576,-24.625437982404,8.180664563958334,1.0047568433496046,0,1,0,0,1,0
CCCCCOc1cc(C#C)c(cc1OCCCCC)N(=O)=O,1.2161346615359,-84.091992438075,4.0903159337308725,1.005054867929412,0,1,0,0,1,0
CCCCOc1cc(C#C)c(cc1OCCCC)N(=O)=O,1.2424051797885,-66.877873570621,4.898332873272253,1.0035455404721318,0,1,0,0,1,0
O=CN1CC(C1)(N(=O)=O)N(=O)=O,1.6142135286321,-36.219625837072,2.669719839732853,1.004833510596287,1,0,0,0,1,0
O=C(N1CC(C1)(N(=O)=O)N(=O)=O)N1CC(C1)(N(=O)=O)N(=O)=O,1.6907934242425,-36.270253400542,1.7969514699019042,1.0049081550566885,1,0,0,0,1,0
CC(=O)N(C(C)=O)C1=C(c2ccccc2)C(=NO1)c1ccccc1,1.3470595695439,-48.796220349752,7.984439174457284,1.004695487080491,0,1,0,0,1,0
COC(=O)C1=C(C(=O)OC)C2(N(O1)C(C)COC2=O)c1ccccc1,1.4460830426749,-214.18899071784,7.202405154551749,1.000976176739888,0,1,0,1,0,0
CCCc1c2Oc3cc(Oc4cccc(Oc5cc(Oc1ccc2)c(cc5N(=O)=O)N(=O)=O)c4CCC)c(cc3N(=O)=O)N(=O)=O,1.5177424380146,-132.7800765459,4.9460048138339285,1.0034033687127375,0,1,0,0,1,0
C[N+]([O-])=Cc1ccc2cccc(O)c2n1,1.3591216428656,-7.9617471405176,8.142444906829429,1.0042168326088063,0,1,0,0,1,0
CC(=O)ON1CN(CN(C1)OC(C)=O)OC(C)=O,1.4170012335536,-160.49807947506,7.884617207698643,1.001911788135294,0,1,0,0,1,0
CC#CCC(OC(=O)c1ccc(cc1)N(=O)=O)C1(O)C(=O)OCC1(C)C=C,1.4040408532992,-167.0430784803,8.084885133638439,1.0029950842531992,0,0,1,0,1,0
Cc1cc(cc2CCCC(c12)=C1C2=CC=CN2c2ccccc12)N(=O)=O,1.3599385507364,46.299840372432,8.150597199937412,1.0020360852301577,0,1,0,0,1,0
COC(=O)Cc1c(OC)c(cc2c1Oc1c(CN3C(=O)c4ccccc4C3=O)c(OC)c(cc1C2(C)C)c1ccc(C=O)cc1)c1cccc(c1)N(=O)=O,1.4330237934227,-305.13210024772,7.543026085984853,1.0003085818319364,0,1,0,1,0,0
CN1N(c2ccccc2)C(=O)C(=C1C)N=Cc1ccccc1N(=O)=O,1.377960672291,26.97830417792,8.244162988119538,1.004029184789463,0,1,0,0,1,0
COc1ccc(cc1)C=C1CCCC2=C1OC(=C(C2c1ccc(OC)cc1)C1=NC(=NO1)c1ccccc1)N,1.3458354870989,-59.36169364144,7.964593621432117,1.0039131707148328,0,1,0,0,1,0
COC(=O)Cc1ccccc1OCC1=NC(=NO1)c1cccc(OC)c1,1.3750381277602,-127.89290588202,8.240360529854465,1.004510829462954,0,1,0,0,1,0
